,name,birthday,year,month,day,星座,财富值（亿美元）
0,Jeff Bezos,1964-01-12,1964,01,12,摩羯,1120
1,Bill Gates,1955-10-28,1955,10,28,天蝎,900
2,Warren Buffett,1930-08-30,1930,08,30,处女,840
3,Bernard Arnault,1949-03-05,1949,03,05,双鱼,720
4,Mark Zuckerberg,1984-05-14,1984,05,14,金牛,710
5,Amancio Ortega,1936-03-28,1936,03,28,白羊,700
6,Carlos Slim Helu,1940-01-28,1940,01,28,水瓶,671
7,Charles Koch,1935-11-01,1935,11,01,天蝎,600
8,David Koch,1940-05-03,1940,05,03,金牛,600
9,Larry Ellison,1944-08-17,1944,08,17,狮子,585
10,Michael Bloomberg,1942-02-14,1942,02,14,水瓶,500
11,Larry Page,1973-03-26,1973,03,26,白羊,488
